Id,IsDeleted,AccountId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,DeliveryInstallationStatus__c,TrackingNumber__c,OrderNumber__c,CurrentGenerators__c,MainCompetitors__c
006f4000002NAbGAAW,,001f4000003NkdYAAS,,System Assessment,"Customer pain: training is too intense, product is too difficult to use, not a scalable solution.  Mashmatrix seems to solve all of those issues.",Prospecting,24710,10,2471,,2024-06-14,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-2043,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,,2,2024,2024 2,2021-06-05T11:11:59.000+0000,2021-06-05T11:11:59.000+0000,,,,,,,
006f4000002NAbHAAW,,001f4000003NkdjAAC,,300 Add'l Users,"Current product is too expensive on a recurring basis, and maintenance fees are through the roof.  Requires IT administration, which is where they are looking to cut costs.",Negotiation/Review,19233,90,17309.7,,2021-07-11,New Customer,Closed Won.  Paperwork attached.,MM-2044,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,,3,2021,2021 3,2021-06-05T11:14:44.000+0000,2021-06-05T11:14:44.000+0000,,,,,,,
006f4000002NAbIAAW,,001f4000003NkdgAAC,,mm 300 seats,Competing with on-premise solutions which are costly and require heavy administration and infrastructure.  Looking for a more cost effective solution,Closed Won,22905,100,22905,,2021-07-24,New Customer,Closed Won.  Paperwork attached.,MM-2045,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbJAAW,,001f4000003NkdnAAC,,350 seats,Using legacy systems and want to extract data from many sources and aggregate onto one screen.,Prospecting,14753,10,1475.3000000000002,,2024-06-14,New Customer,Closed Won.  Paperwork attached.,MM-2046,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:11:42.000+0000,005f4000000VrDDAA0,2021-06-05T11:11:42.000+0000,,2,2024,2024 2,2021-06-05T11:11:42.000+0000,2021-06-05T11:11:42.000+0000,,,,,,,
006f4000002NAbKAAW,,001f4000003NkdCAAS,,System Assessment,Not currently using any SaaS solutions.  We seem to be the only product in contention.,Closed Won,23335,100,23335,,2021-09-16,New Customer,Closed Won.  Paperwork attached.,MM-2047,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbLAAW,,001f4000003NkdbAAC,,Dashboard + BI Tool,They don't use computers.  They throw rocks and sticks at each other for information-exchange.,Prospecting,12399,10,1239.9,,2024-10-14,New Customer,Closed Won.  Paperwork attached.,MM-2048,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,,4,2024,2024 4,2021-06-05T11:11:59.000+0000,2021-06-05T11:11:59.000+0000,,,,,,,
006f4000002NAbMAAW,,001f4000003NkdLAAS,,Add on Storage,Current solution is not scalable.  Requires 2 full time IT resources and very long training schedule.  Only 18 people trained on the current dashboard product.,Qualification,22000,10,2200,,2021-10-23,New Customer,Closed Won.  Paperwork attached.,MM-2049,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:11:42.000+0000,005f4000000VrDDAA0,2021-06-05T11:11:42.000+0000,,4,2021,2021 4,2021-06-05T11:11:42.000+0000,2021-06-05T11:11:42.000+0000,,,,,,,
006f4000002NAbNAAW,,001f4000003NkdEAAS,,500 seats mm,Current dashboard solution is very costly and not very user friendly,Closed Won,12883,100,12883,,2021-09-18,New Customer,Closed Won.  Paperwork attached.,MM-2050,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbOAAW,,001f4000003NkdeAAC,,dashboard assessment,Want 350 Seats of primary product.  Would like 4 weeks of consulting.  Definite issues in current dashboard product.,Needs Analysis,18732,20,3746.4,,2021-10-15,New Customer,Closed Won.  Paperwork attached.,MM-2051,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:15:24.000+0000,005f4000000VrDDAA0,2021-06-05T11:15:24.000+0000,,4,2021,2021 4,2021-06-05T11:15:23.000+0000,2021-06-05T11:15:23.000+0000,,,,,,,
006f4000002NAbPAAW,,001f4000003NkdDAAS,,Migration to mm,"Cannot mashup external data, need enterprise mashup solution.  Current work-around is not adequate",Prospecting,19449,10,1944.9,,2021-11-16,New Customer,Closed Won.  Paperwork attached.,MM-2052,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:13:02.000+0000,005f4000000VrDDAA0,2021-06-05T11:13:02.000+0000,,4,2021,2021 4,2021-06-05T11:13:02.000+0000,2021-06-05T11:13:02.000+0000,,,,,,,
006f4000002NAbQAAW,,001f4000003NkdFAAS,,Consulting Stage 1,"Need a drag and drop interface, IT costs are too high, leading to near-zero customization due to high costs.",Closed Won,16016,100,16016,,2021-10-13,New Customer,Closed Won.  Paperwork attached.,MM-2053,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,4,2021,2021 4,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbRAAW,,001f4000003NkdJAAS,,Consulting Stage 2,Low user adoption because of lack of personalized dashboards,Closed Lost,24162,0,0,,2021-01-21,New Customer,Closed Won.  Paperwork attached.,MM-2054,1,,Omitted,Omitted,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:13:02.000+0000,005f4000000VrDDAA0,2021-06-05T11:13:02.000+0000,,1,2021,2021 1,2021-06-05T11:13:02.000+0000,2021-06-05T11:13:02.000+0000,,,,,,,
006f4000002NAbSAAW,,001f4000003NkdGAAS,,Pilot 50 users,"Current solution is not easy to use, and requires a long setup/implementation period.  This is not scalable and there is a lot of pushback from SFDC administrators",Closed Won,17622,100,17622,,2021-01-17,New Customer,Closed Won.  Paperwork attached.,MM-2055,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbTAAW,,001f4000003NkdXAAS,,Proof of Concept,"Requires ""super users"" to learn the system, which is not the setup they want.  They prefer a product that all users can easily learn.",Closed Won,16677,100,16677,,2021-01-14,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-2056,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
